run_tag,generation,ind_id,origin,parent_a,parent_b,fitness,nodes_in,edges_in,none_removed,comp_removed_nodes,face_collisions_skipped,multi_parent_skipped,unreached_removed,nodes_out,edges_out,raw_graph_path,san_graph_path,video_recorded
20251008_161002,1,0,elite,1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind0.json,False
20251008_161002,1,1,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind1.json,False
20251008_161002,1,2,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind2.json,False
20251008_161002,1,3,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind3.json,False
20251008_161002,1,4,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind4.json,False
20251008_161002,1,5,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind5.json,False
20251008_161002,1,6,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind6.json,False
20251008_161002,1,7,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind7.json,False
20251008_161002,1,8,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind8.json,False
20251008_161002,1,9,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind9.json,False
