gen,ind,is_viable,graph_sig,nu,fitness,best_prog,from_cache,eval_budget
0,0,False,733fc6fe8bf59c40cc3fb14f2fd89440ba2a0a9f,0,-1000000.0,0.0,False,NA
0,1,False,bf5f490c2440ad5e7e5612ef732983e52aaf4259,0,-1000000.0,0.0,False,NA
0,2,False,9818fcee19140294be6a2344abc83c1cfb956b20,0,-1000000.0,0.0,False,NA
0,3,False,460bbad6c80f3953e95163a4132fb83ad49b569b,0,-1000000.0,0.0,False,NA
0,4,False,f9b2b708943d84dd47bd4b8f32863157c75f931f,0,-1000000.0,0.0,False,NA
0,5,False,5dab9980e9b4aced656b0820ee4a49bea4d20ec6,0,-1000000.0,0.0,False,NA
0,6,False,14daf2cf07ebe731dab3a8d1303c1c8641162a0c,0,-1000000.0,0.0,False,NA
0,7,False,83fa1ea00617f7e5d41dd86cf8cc97b2fc3a7dcd,0,-1000000.0,0.0,False,NA
0,8,False,83fb5ffc6cd249f5df2a386544d2103796c01085,0,-1000000.0,0.0,False,NA
0,9,False,0ccd170afa510a96b0589ebb411a24317ecc406e,0,-1000000.0,0.0,False,NA
0,10,False,fab04dda044667f78e8e0d0659aa9d985394709e,0,-1000000.0,0.0,False,NA
0,11,False,84be6d8ac8fc2f5647a9b646a77a21c3e8e1567b,0,-1000000.0,0.0,False,NA
0,12,False,b1d8766a930e10d38118e77b08adccd5ea4d57f5,0,-1000000.0,0.0,False,NA
0,13,False,320b0947c2130d22bebcb41967f1069460ff2eaf,0,-1000000.0,0.0,False,NA
0,14,False,62ca1079aef360d08ba0755aaf4b6894747c9129,0,-1000000.0,0.0,False,NA
0,15,False,b426b057d2f557c64343de7f378658e66a904267,0,-1000000.0,0.0,False,NA
0,16,False,b679f37692245da303f71877117ebaccee4082ab,0,-1000000.0,0.0,False,NA
0,17,False,925a038f9effd41ac4322efd309bc8b5a3319bc9,0,-1000000.0,0.0,False,NA
0,18,False,bc127084b57563ba968cff2071a335ccb7a494f6,0,-1000000.0,0.0,False,NA
0,19,False,3a33c77a762daa9d9a220dad4e3be54a7c5c4923,0,-1000000.0,0.0,False,NA
