gen,mean,best
0,-5.955273,-5.812363
1,-5.933208,-5.812363
2,-5.919029,-5.812363
3,-5.904365,-5.812363
4,-5.881563,-5.804612
5,-5.860214,-5.804612
6,-5.832728,-5.754532
7,-5.820424,-5.754532
8,-5.809332,-5.754532
9,-5.797726,-5.705232
10,-5.789821,-5.705232
11,-5.788412,-5.705232
12,-5.784813,-5.705232
