gen,mean,best
0,-5.818510,-5.786122
1,-5.803374,-5.774429
2,-5.796515,-5.774429
3,-5.789896,-5.763291
4,-5.782678,-5.757802
5,-5.776666,-5.757164
6,-5.772315,-5.747388
7,-5.764249,-5.744659
8,-5.758353,-5.742000
9,-5.755485,-5.742000
10,-5.748919,-5.702381
11,-5.742362,-5.702381
12,-5.738576,-5.702381
