gen,mean,best
0,-5.803013,-5.774553
1,-5.791494,-5.769678
2,-5.786728,-5.757611
3,-5.781032,-5.742596
4,-5.774390,-5.740291
5,-5.769970,-5.740291
6,-5.764084,-5.738239
7,-5.759283,-5.738239
8,-5.756494,-5.738239
9,-5.754074,-5.724907
10,-5.751358,-5.724907
11,-5.747869,-5.724907
12,-5.746297,-5.724907
