gen,mean,best
0,-5.874820,-5.846756
1,-5.856802,-5.839328
2,-5.854677,-5.839328
3,-5.854093,-5.839328
4,-5.852646,-5.839328
5,-5.851305,-5.839328
6,-5.851087,-5.839328
7,-5.848418,-5.825639
8,-5.847444,-5.825639
9,-5.846966,-5.825639
10,-5.845013,-5.825639
11,-5.843520,-5.825639
12,-5.842757,-5.825639
